SID;partition;activity;potency;MolWt;LogP;MR;HeavyAtomCount;AtomCount;BondCount;NumHBA;NumHBD;NumRotatableBonds;FractionCSP3;FormalCharge;AromaticRings;AliphaticRings;AromaticAtoms;HeteroatoAromaticAtoms;ms;LabuteASA;nC;nF;nH;nN;nCl;nO;nS;nBr;nI;nP
378171173;378171173;Training;Active;7.56863623584101;371.435;3.93462;102.0464;27;27;30;4;2;5;0.4;0;3;1;15;15;7;156.373090661511;20;2;23;5;0;0;0;0;0;0
405266905;405266905;Training;Active;7.54821356447571;317.755;3.182;79.631;22;22;25;5;0;4;0.266666666666667;0;3;1;16;16;7;130.902445360358;15;1;13;5;1;0;0;0;0;0
312369674;312369674;Training;Active;7.52287874528034;414.565;6.37030000000001;117.7907;29;29;32;2;1;7;0.416666666666667;0;3;1;15;15;5;175.236926770168;24;2;28;2;0;0;1;0;0;0
405266922;405266922;Training;Active;7.49894073778225;317.755;3.182;79.631;22;22;25;5;0;4;0.266666666666667;0;3;1;16;16;7;130.902445360358;15;1;13;5;1;0;0;0;0;0
405266934;405266934;Training;Active;7.48545224733971;351.332;3.5341;83.4600000000001;25;25;27;6;0;5;0.3125;0;3;0;16;16;9;141.414568436762;16;3;16;5;0;1;0;0;0;0
405266928;405266928;Training;Active;7.46218090492673;349.316;3.2881;81.346;25;25;28;6;0;5;0.3125;0;3;1;16;16;9;140.408737283233;16;3;14;5;0;1;0;0;0;0
103560539;103560539;Training;Active;7.45593195564972;446.62;4.1745;130.3477;32;32;37;5;1;6;0.461538461538462;0;3;3;15;15;6;193.129068748226;26;0;30;4;0;1;1;0;0;0
103560572;103560572;Training;Active;7.45593195564972;472.614;4.6713;135.6552;34;34;39;6;1;6;0.333333333333333;0;4;2;20;20;7;202.891497028707;27;0;28;4;0;2;1;0;0;0
405266927;405266927;Training;Active;7.42021640338319;367.762;4.0617;84.675;25;25;28;5;0;4;0.3125;0;3;1;16;16;9;145.598458280607;16;3;13;5;1;0;0;0;0;0
405266885;405266885;Training;Active;7.41566877563247;273.727;2.47392;72.435;19;19;21;5;0;3;0.153846153846154;0;3;0;16;16;6;115.012856882168;13;0;12;5;1;0;0;0;0;0
405266888;405266888;Training;Active;7.41005039867429;315.808;3.5081;86.31;22;22;24;5;0;6;0.3125;0;3;0;16;16;6;134.107683225358;16;0;18;5;1;0;0;0;0;0
312369694;312369694;Training;Active;7.39794000867204;472.601;5.92830000000001;129.0658;33;33;36;4;1;9;0.423076923076923;0;3;1;15;15;7;197.132538337797;26;2;30;2;0;2;1;0;0;0
405266939;405266939;Training;Active;7.38615817812393;309.373;1.9243;85.4528;23;23;26;6;1;6;0.352941176470588;0;3;1;16;16;6;133.95776171154;17;0;19;5;0;1;0;0;0;0
103304009;103304009;Training;Active;7.36653154442041;491.626;5.75004000000001;141.3027;36;36;39;3;1;9;0.366666666666667;0;3;1;18;18;6;212.481188180766;30;2;35;3;0;1;0;0;0;0
378171159;378171159;Training;Active;7.35654732351381;390.413;3.46872;99.7994;28;28;31;5;2;5;0.421052631578947;0;3;1;15;15;9;159.758274045384;19;3;21;6;0;0;0;0;0;0
405266920;405266920;Training;Active;7.33724216831843;307.279;2.83932;72.427;22;22;24;5;0;3;0.214285714285714;0;3;0;16;16;8;123.571138978462;14;3;12;5;0;0;0;0;0;0
405266879;405266879;Training;Active;7.33161408331;301.781;3.118;81.693;21;21;23;5;0;5;0.266666666666667;0;3;0;16;16;6;127.742741110961;15;0;16;5;1;0;0;0;0;0
144204745;144204745;Training;Active;7.20411998265592;347.861;4.46720000000001;95.6798000000001;24;24;26;2;1;5;0.4;0;2;1;12;12;4;147.425072139412;20;1;23;1;1;1;0;0;0;0
103503415;103503415;Training;Active;7.17457388223218;461.556;5.85700000000001;131.1467;34;34;38;3;1;7;0.321428571428571;0;4;1;21;21;6;197.397110404056;28;2;29;3;0;1;0;0;0;0
405266956;405266956;Training;Active;7.13727247168202;381.814;4.0644;93.03;26;26;28;6;0;5;0.352941176470588;0;3;0;16;16;9;153.917241375114;17;2;18;5;1;1;0;0;0;0
